tier,name,city,glow_score,review_count
1,"ELLEMES Medical Spa",Atlanta,5,400
1,"Begin Anew Med Spa & Wellness",Jupiter,5,400
1,"Restore Hyper Wellness",Santa Monica,5,399
1,"Restore Hyper Wellness",San Francisco,5,399
1,"The Laser Lounge Spa Estero",Estero,5,399
1,"The Bowman Institute for Dermatologic Surgery",Tampa,71,396
1,"The Look Med Spa",Las Vegas,5,396
1,"Holden Timeless Beauty San Diego",San Diego,5,389
1,"Sisu Clinic Flatiron",New York City,5,387
2,"Target",Estero,4,387
1,"Family Medical Group - North Miami",North Miami,5,385
1,"CurateMD Skin Bar and Wellness Clinic",Chandler,5,385
1,"Miami Plastic Surgery",Miami,5,385
1,"SDBotox - Little Italy",San Diego,5,383
1,"RSB Dermatology: Robert S. Bader, MD",Deerfield Beach,5,383
1,"Spa e",Miami Beach,5,381
1,"Threading and glow by Faye",Margate,5,379
1,"4Ever Young Anti Aging Solutions",Wellington,5,378
1,"Skin Spa New York - Back Bay",Boston,5,378
1,"Vitalyc Medspa | Fort Worth",Fort Worth,5,378
1,"SEAPORT MEDSPA - South Boston",Boston,5,377
1,"Destiny Med Spa",Miami Gardens,5,377
1,"The Aesthetics Lab",Tampa,86,376
1,"Hi, Finch",Nashville,5,375
1,"Arviv Medical Aesthetics Miami",Miami,5,375
1,"The Modern Aesthetic",Charlotte,5,374
1,"The Aesthetics Lab",Tampa,5,372
1,"Moderne Medical Aesthetics",Scottsdale,5,371
1,"4Ever Young Med Spa & Wellness Center - Philadelphia",Philadelphia,5,370
1,"Healing Hands FB9771176 MM41529",Wellington,5,367
1,"Glick Skin Institute",Wellington,5,367
1,"Dolce Medical Spa Las Olas | Facial | Skin Tightening | Microneedling",Fort Lauderdale,5,364
1,"New Radiance Cosmetic Centers",Wellington,5,363
1,"AR Aesthetics",Tampa,74,363
1,"AR Aesthetics",Tampa,5,363
1,"It's A Secret Med Spa",Plano,5,362
1,"NSI Wellness | Aesthetics",Nashville,5,361
1,"Dolce Medical Spa - Tempe",Tempe,5,360
1,"TAO Wellness Med Spa",Tampa,74,360
1,"TAO Wellness Med Spa",Tampa,5,360
1,"Kian Aesthetic Institute",Los Angeles,5,360
1,"Regenerate Medical Concierge",Henderson,5,359
1,"Derma Health Skin & Laser",Chandler,5,356
1,"RESTOR Medical Spa",Denver,5,353
1,"Houck Dermatology",Estero,5,352
1,"Rose Milk Aesthetics",Houston,5,351
1,"NYC Rejuvenation Clinic",New York City,5,351
1,"Old Town Med Spa (Lincoln Park)",Chicago,5,350
1,"Azul Cosmetic Surgery and Medical Spa | Bonita Springs",Estero,5,347
1,"Rendon Aesthetics",Boca Raton,5,346
1,"Med Spa NYC: Beso Aesthetics",New York City,5,346
1,"Skin Club",Deerfield Beach,5,346
1,"Aesthetic Assets",Scottsdale,5,346
1,"SLK Aesthetic Medicine",Nashville,5,345
1,"West Empire Aesthetics",Los Angeles,5,344
1,"Red Market Miami Salon",Bal Harbour,5,343
1,"It's A Secret Med Spa - Austin",Austin,5,342
1,"Alabama Med Spa By Voupre",Houston,5,342
1,"Amaira Med Spa & Surgical",Fort Lauderdale,5,340
1,"Deluxe Cosmetic Center",Los Angeles,5,340
1,"Arizona Aesthetics | Hair Restoration & Stem Cell Therapy",Scottsdale,5,339
1,"Miami Aesthetic - Pat Pazmiño, MD, FACS",Miami,5,338
1,"Perfectly Sculpted",Riviera Beach,5,338
1,"SkinMD Boston",Boston,5,335
1,"Yag-Howard Cosmetic Dermatology",Naples,5,334
1,"Viso Juve",Tampa,99,333
1,"USA Sports Medicine South Beach",Miami Beach,5,332
1,"Natura Med Spa & IV Bar - Denver",Denver,5,332
1,"VITRA Aesthetics Clinic",Long Island City,5,330
1,"Millennium Wellness Center",Fort Lauderdale,5,327
1,"Parie Med Spa",Las Vegas,5,327
1,"Parie Med Spa",Summerlin,5,327
1,"Forever Essential Med Spa",Deerfield Beach,5,326
1,"GLO30 National Landing",Arlington,5,325
1,"Aesthetica Med Spa",Charlotte,5,325
1,"Deep Blue Med Spa",Long Island City,5,323
1,"Kalos Medical Spa at Kirby Plastic Surgery",Fort Worth,5,323
1,"The Woodruff Institute for Dermatology & Cosmetic Surgery",Estero,5,323
1,"Luminance Aesthetics",Miami,5,321
1,"BevelUp Midtown",Tampa,94,321
1,"Elite Medspa Scottsdale",Scottsdale,5,321
1,"New Tampa Smiles",Tampa,72,320
1,"New Tampa Smiles",Tampa,5,320
1,"Modern Beauty Bar",Orlando,5,314
1,"Pinch Med Spa Seattle | Concierge, Mobile & At Home BOTOX, Microneedling & Chemical Peels",Seattle,5,314
1,"CULT Aesthetics",Dallas,5,314
1,"Lorelié Salon & Spa Suites",Cooper City,5,313
1,"Allure Aesthetic Center | Med Spa, Botox, Laser, Tattoo Removal, P Shot Alpharetta",Alpharetta,5,307
1,"It's A Secret Med Spa",Fort Worth,5,306
1,"MeSO Medspa Newport Beach",Newport Beach,5,303
2,"It's A Secret Med Spa - Houston",Houston,4,302
1,"Tribeca Medspa",New York City,5,301
1,"Dr. Jean-Paul Azzi, MD | The Palm Beach Center for Facial Plastic & Laser Surgery",Jupiter,5,301
1,"Forever Young Aesthetics - Tampa",Tampa,5,298
1,"Rejuve Med Spa",Dallas,5,297
1,"Forever Young Aesthetics - Tampa",Tampa,100,297
1,"Serenity Aesthetics & Wellness",San Francisco,5,297
2,"Ulta Beauty",Estero,4,295
1,"Buckhead Facial Plastic Surgery: Theresa M. Jarmuz, MD",Buckhead,5,294
1,"Timeless Aesthetics & Wellness",Alpharetta,5,294
1,"Javan Wellness",Arlington,5,293
1,"SkinSpirit Seattle - University Village",Seattle,5,292
1,"Rejuvenate MedSpa",Denver,5,291
1,"Brows & Beyond Lounge",Davie,5,291
2,"NYAH Med Spa",Buckhead,4,290
1,"NakedMD Med Spa Austin",Austin,5,290
2,"Solea Brickell Spa",Miami,4,289
1,"Vital Health & Wellness Group",Cooper City,5,288
1,"CULT Aesthetics",Atlanta,5,288
1,"ZZ Med Spa",New York City,5,288
1,"SkinSpirit Plano",Plano,5,287
1,"First Body",Alpharetta,5,286
1,"La Fontaine Aesthetics",Denver,5,286
1,"Stretch Sesh - Margate",Margate,5,286
1,"REVIV Miami Beach | Mobile IV Therapy",Miami Beach,5,286
1,"YS Aesthetics",Davie,5,286
1,"Icon MD Medical Spa + Laser Center Boston",Boston,5,286
1,"MASSAGE POINT",Estero,5,285
1,"My Aesthetics Intelligence",Dallas,5,284
1,"Collab MedSpa - Scottsdale",Scottsdale,5,284
1,"Beyond Skin Aesthetics",Columbus,5,281
1,"Reverse Aesthetics",Columbus,5,280
1,"Center Aesthetic & Dermatology",New York City,5,280
1,"Sisu Clinic Fort Lauderdale",Fort Lauderdale,5,279
1,"Parkside Health & Wellness Center: Dr. Joseph Bogart",Parkland,5,277
1,"Refine Aesthetics",Austin,5,276
1,"The Miami Effect | By Rose",North Miami,5,276
1,"It's A Secret Med Spa",San Antonio,5,276
1,"Bella Medspa Arizona",Tempe,5,275
1,"SkinLocal Dadeland",Miami,5,275
1,"liv Plastic Surgery by Dr. Andrew Ress",Deerfield Beach,5,275
1,"Soaplab Laundromat & Wash and Fold",Tamarac,5,272
1,"Allurant Medical Spa",San Diego,5,270
1,"Cherry Medical",Denver,5,270
1,"Eyes on Skin Aesthetics",Arlington,5,270
1,"FACE FOUNDRIÉ - Naples",Naples,5,268
1,"Adam & Eve Medical Aesthetics",Scottsdale,5,266
1,"Allure Medical",Charlotte,5,266
1,"Glotique by LYF aesthetics",North Miami,5,266
1,"Clinique des Champs Élysées",New York City,5,266
1,"One Aesthetics",Orlando,5,265
1,"Refine by Tulsi Med Spa",Chicago,5,264
1,"Newport Beach MedSpa",Newport Beach,5,263
1,"dermani MEDSPA® Alpharetta",Alpharetta,5,263
1,"Dolce Medical Spa",Scottsdale,5,263
1,"Ann-LASH Beauty Bar - Sugaring, Facials, Lash Lifts, & Beauty School",Deerfield Beach,5,262
1,"BlueInGreen MedSpa",Bethesda,5,262
1,"Skincare By Amy Peterson",Miami Beach,5,261
1,"VIIV WELLNESS HAUS",Miami Beach,5,261
1,"Chevy Chase Facial Plastic Surgery - Dr. Jennifer Parker Porter",Bethesda,5,261
1,"Elevate Medical Spa",Tampa,5,260
1,"Elevate Medical Spa",Tampa,95,260
1,"Familia Health Clinic and Pharmacy - Walk-In Clinic at a Low Cost",Deerfield Beach,5,260
1,"Hayes Valley Medical Esthetics – Hayes Valley",San Francisco,5,258
1,"IV JOINT",Tampa,69,257
1,"Precision Medical Specialists",Wellington,5,256
1,"Harmony Aesthetics Center",Los Angeles,5,255
1,"Jupiter Massage & Pilates",Jupiter,5,255
1,"Harmony Aesthetics Center",Santa Monica,5,255
1,"Bellora Medical Aesthetics",Seattle,5,253
1,"LA Medical Associates",Wellington,5,253
1,"Skinsanity",Denver,5,251
1,"Inspire Aesthetics",Fort Lauderdale,5,251
1,"Body+Beauty Lab",Philadelphia,5,251
1,"VIO Med Spa",Austin,5,250
1,"Face It Botox Bar Aesthetics & Wellness - Estero",Estero,5,249
1,"Medical Aesthetics on Tremont",Boston,5,249
1,"Enrique Hanabergh Jr, MD",Miami Lakes,5,249
2,"Jupiter Family Healthcare",Jupiter,4,249
1,"Lineless Aesthetics – South Tampa Injectables Studio",Tampa,72,248
1,"Lineless Aesthetics – South Tampa Injectables Studio",Tampa,5,248
1,"LaserAway Kendall",Miami,5,247
1,"Five Elements Medical Spa & Wellness Center in Deerfield Beach",Deerfield Beach,5,247
1,"Enigma Plastic Surgery",Philadelphia,5,247
1,"Franco Wellness & Aesthetics - Scottsdale AZ",Scottsdale,5,247
1,"Studio N",Philadelphia,5,247
1,"CMA - Center for Modern Aesthetic Medicine",Jacksonville,5,246
1,"San Antonio Med Spa",San Antonio,5,246
1,"Dr. Hegedosh",Deerfield Beach,5,245
1,"Columbus Aesthetic & Plastic Surgery - Gahanna",Columbus,5,245
1,"SmizePro Med Spa",Wellington,5,244
1,"Well Labs+ Medspa Coconut Creek (formerly Hello Gorgeous)",Coconut Creek,5,243
1,"em+zen™ - aesthetic medicine + precision wellness - Upper Arlington",Columbus,5,243
1,"Boston Medical Aesthetics",Boston,5,242
1,"Med Spa by Voupre",Jacksonville,5,242
1,"Hanami Medspa: Elaine Phuah, DO, MBA, FACOI",Fort Worth,5,241
1,"Kapriz Medical Spa",Jacksonville,5,241
1,"Juvly Aesthetics",Columbus,5,241
1,"Magnolia Medical & Aesthetics",San Antonio,5,237
1,"Denver Botox: GATTONI Medical Aesthetics",Denver,5,237
1,"VITAHL Medical Aesthetics",Denver,5,237
1,"South Florida Health Institute",Coconut Creek,5,236
1,"Dana M Goldberg MD",Jupiter,5,236
1,"Breeze Med Spa",Chandler,5,236
1,"DHH Med Spa",Scottsdale,5,236
1,"Nectar Aesthetics® Med Spa - Orlando",Orlando,5,236
1,"Integration Spa",Jacksonville,5,236
1,"The Wellness Lab",Naples,5,235
1,"Restore Hyper Wellness",Alpharetta,5,235
1,"Contour Collection",Denver,5,235
1,"SP Aesthetics",Wellington,5,234
1,"VIO Med Spa",Orlando,5,234
1,"Complexion Nashville",Nashville,5,234
1,"Aesthetica by Dr. Adam",Chicago,5,233
1,"Healthy Glow Aesthetics",Fort Lauderdale,5,233
1,"Clinic Ellena Health + Wellness",Minneapolis,5,233
1,"MedLife Massage",North Miami,5,232
1,"South Coast MedSpa",San Diego,5,232
1,"Skin Spa New York North Station",Boston,5,232
1,"Skin Spa New York North Station",Dallas,5,232
1,"The Parlour",Miami,5,232
1,"Dr. Miami Beach Tarik M. Husain MD, FACS",Miami Beach,5,232
1,"Marijuana Doctor Wesley Chapel",Tampa,69,231
1,"MassageLuXe Estero",Estero,5,230
1,"Med 44 Arcadia",Phoenix,5,230
1,"Younique Surgery Center & Medical Spa - Santa Monica",Santa Monica,5,230
1,"Starz Pediatrics - Primary & Urgent Care",Estero,5,230
1,"Slater Aesthetics & Anti-Aging",Atlanta,5,229
1,"Muse Aesthetics & Laser",Tampa,75,226
1,"Muse Aesthetics & Laser",Tampa,5,226
1,"Glowing Skin Face & Body Care Med Spa",Fort Lauderdale,5,224
1,"Keila Domingues - Skin Care - Cooper City",Cooper City,5,224
1,"Sanjiva Medical Spa",Dallas,5,224
1,"Meirson Dermatology",Deerfield Beach,5,224
